zip,state_id,state_name
2536,MA,Massachusetts
2537,MA,Massachusetts
2538,MA,Massachusetts
2539,MA,Massachusetts
2540,MA,Massachusetts
2542,MA,Massachusetts
2543,MA,Massachusetts
2553,MA,Massachusetts
2554,MA,Massachusetts
2556,MA,Massachusetts
2557,MA,Massachusetts
2558,MA,Massachusetts
2559,MA,Massachusetts
2561,MA,Massachusetts
2562,MA,Massachusetts
2563,MA,Massachusetts
2564,MA,Massachusetts
2568,MA,Massachusetts
2571,MA,Massachusetts
2575,MA,Massachusetts
2576,MA,Massachusetts
2584,MA,Massachusetts
2601,MA,Massachusetts
2630,MA,Massachusetts
2631,MA,Massachusetts
2632,MA,Massachusetts
2633,MA,Massachusetts
2635,MA,Massachusetts
2637,MA,Massachusetts
2638,MA,Massachusetts
2639,MA,Massachusetts
2641,MA,Massachusetts
2642,MA,Massachusetts
2643,MA,Massachusetts
2644,MA,Massachusetts
2645,MA,Massachusetts
2646,MA,Massachusetts
2647,MA,Massachusetts
2648,MA,Massachusetts
2649,MA,Massachusetts
2650,MA,Massachusetts
2651,MA,Massachusetts
2652,MA,Massachusetts
2653,MA,Massachusetts
2655,MA,Massachusetts
2657,MA,Massachusetts
2659,MA,Massachusetts
2660,MA,Massachusetts
2663,MA,Massachusetts
2664,MA,Massachusetts
2666,MA,Massachusetts
2667,MA,Massachusetts
2668,MA,Massachusetts
2669,MA,Massachusetts
2670,MA,Massachusetts
2671,MA,Massachusetts
2672,MA,Massachusetts
2673,MA,Massachusetts
2675,MA,Massachusetts
2702,MA,Massachusetts
2703,MA,Massachusetts
2713,MA,Massachusetts
2715,MA,Massachusetts
2717,MA,Massachusetts
2718,MA,Massachusetts
2719,MA,Massachusetts
2720,MA,Massachusetts
2721,MA,Massachusetts
2723,MA,Massachusetts
2724,MA,Massachusetts
2725,MA,Massachusetts
2726,MA,Massachusetts
2738,MA,Massachusetts
2739,MA,Massachusetts
2740,MA,Massachusetts
2743,MA,Massachusetts
2744,MA,Massachusetts
2745,MA,Massachusetts
2746,MA,Massachusetts
2747,MA,Massachusetts
2748,MA,Massachusetts
2760,MA,Massachusetts
2762,MA,Massachusetts
2763,MA,Massachusetts
2764,MA,Massachusetts
2766,MA,Massachusetts
2767,MA,Massachusetts
2769,MA,Massachusetts
2770,MA,Massachusetts
2771,MA,Massachusetts
2777,MA,Massachusetts
2779,MA,Massachusetts
2780,MA,Massachusetts
2790,MA,Massachusetts
2791,MA,Massachusetts
2802,RI,Rhode Island
2804,RI,Rhode Island
2806,RI,Rhode Island
2807,RI,Rhode Island
2808,RI,Rhode Island
2809,RI,Rhode Island
2812,RI,Rhode Island
2813,RI,Rhode Island
2814,RI,Rhode Island
2815,RI,Rhode Island
2816,RI,Rhode Island
2817,RI,Rhode Island
2818,RI,Rhode Island
2822,RI,Rhode Island
2825,RI,Rhode Island
2826,RI,Rhode Island
2827,RI,Rhode Island
2828,RI,Rhode Island
2830,RI,Rhode Island
2831,RI,Rhode Island
2832,RI,Rhode Island
2833,RI,Rhode Island
2835,RI,Rhode Island
2836,RI,Rhode Island
2837,RI,Rhode Island
2838,RI,Rhode Island
2839,RI,Rhode Island
2840,RI,Rhode Island
2841,RI,Rhode Island
2842,RI,Rhode Island
2852,RI,Rhode Island
